Source:;Basis: ZFKD 2025, modified, annotated with support by Claude Opus, modified, Enhanced with support by Claude Opus, modified;;;;;;;;;;;
Regime;Substance1;Substance2;Substance3;Substance4;Substance5;Substance6;Substance7;Inclusion.ICD10.Short;Inclusion.ICD10.Short.SecondaryUse;Inclusion.ICDO.TopographyCode.Short;Inclusion.ICDO.TopographyCode.Short.SecondaryUse;Confidence
A+AVD;Brentuximab;Doxorubicin;Vinblastin;Dacarbazin;;;;C81;;C77;;high
Abemaciclib + Fulvestrant;Abemaciclib;Fulvestrant;;;;;;C50;;C50;;high
Abirateron + Prednison;Abirateron;Prednison;;;;;;C61;;C61;;high
ABVD;Bleomycin;Dacarbazin;Doxorubicin;Vinblastin;;;;C81;;C77;;high
AC;Cyclophosphamid;Doxorubicin;;;;;;C50;C49,  C54,  C40,  C41;C50;C49,  C54,  C40,  C41;high
ACO;Cyclophosphamid;Doxorubicin;Vincristin;;;;;C34;C74,  C40,  C41,  C49,  C83,  C85;C34;C74,  C40,  C41,  C49,  C77;medium
ADR-IFO;Doxorubicin;Ifosfamid;Mesna;;;;;C49,  C48,  C41;C40,  C38,  C47,  C54,  C69;C49, C48, C41;C40, C38, C47, C54, C69;high
AI + GnRH-Analogon;Exemestan;GnRH-Analogon;;;;;;C50;;C50;;high
AIDA;Tretinoin;Idarubicin;;;;;;C92;;C42;;high
AIO;Fluorouracil;Folinsäure;;;;;;C18, C19, C20;C16, C15, C21, C25, C22, C23, C24;C18, C19, C20;C16, C15, C21, C25, C22, C23, C24;high
Alectinib;Alectinib;;;;;;;C34;;C34;;high
Anastrozol;Anastrozol;;;;;;;C50;;C50;;high
Apalutamid;Apalutamid;;;;;;;C61;;C61;;high
Atezolizumab + Bevacizumab;Atezolizumab;Bevacizumab;;;;;;C22;;C22;;high
Atezolizumab + Carbo/Etoposid;Atezolizumab;Carboplatin;Etoposid;;;;;C34;;C34;;high
ATRA + ATO;Tretinoin;Arsentrioxid;;;;;;C92;;C42;;high
AVD;Dacarbazin;Doxorubicin;Vinblastin;;;;;C81;;C77;;high
Avelumab Erhaltung;Avelumab;;;;;;;C67, C65, C66, C68;;C67, C65, C66, C68;;high
Azacitidin + Venetoclax;Azacitidin;Venetoclax;;;;;;C92;D46;C42;C42, D46;high
Azacitidin mono;Azacitidin;;;;;;;C92;C93, D46;C42;C42, D46;high
BEACOPP;Bleomycin;Cyclophosphamid;Doxorubicin;Etoposid;Procarbazin;Vincristin;Prednison;C81;;C77;;high
BEAM;Carmustin;Cytarabin;Etoposid;Melphalan;;;;C81, C82, C83, C84, C85;C86, C88, C90, C91;C77;C77, C42;high
Bevacizumab mono;Bevacizumab;;;;;;;C71;C70, C72;C71;C70, C72;medium
Bicalutamid;Bicalutamid;;;;;;;C61;;C61;;high
Blinatumomab;Blinatumomab;;;;;;;C91;;C42;;high
BOLD;Bleomycin;Dacarbazin;Lomustin;Vincristin;;;;C43;C44, C69;C43;C44, C69;high
BP;Bendamustin;Prednison;;;;;;C90;C91, C82, C83, C85, C88;C42;C42, C77;low
BrECADD;Brentuximab;Cyclophosphamid;Dacarbazin;Doxorubicin;Etoposid;Dexamethason;;C81;;C77;;high
Brentuximab mono;Brentuximab;;;;;;;C81, C84;C85;C77;C77;high
BuCy;Busulfan;Cyclophosphamid;;;;;;C92, C91;C93, C95, C90, D46;C42;C42, D46;medium
Cabazitaxel + Prednison;Cabazitaxel;Prednison;;;;;;C61;;C61;;high
Cabozantinib;Cabozantinib;;;;;;;C64;C22, C73;C64;C22, C73;high
CAD;Cyclophosphamid;Doxorubicin;Dexamethason;;;;;C90;C83, C85;C42;C77;medium
Capecitabin mono;Capecitabin;;;;;;;C18, C19, C20, C50, C16;C15, C25, C22, C23, C24, C21;C18, C19, C20, C50, C16;C15, C25, C22, C23, C24, C21;high
CAPOX;Capecitabin;Oxaliplatin;;;;;;C18, C19, C20, C16;C15, C25, C22, C23, C24;C18, C19, C20, C16;C15, C25, C22, C23, C24;high
CAPTEM;Capecitabin;Temozolomid;;;;;;C25, C17;C34, C18, C73;C25, C17;C34, C18, C73;high
CarboPemPem;Carboplatin;Pembrolizumab;Pemetrexed;;;;;C34, C45;C48, C38, C33;C34, C45;C48, C38, C33;high
Carboplatin mono;Carboplatin;;;;;;;C56, C57, C48;C34, C50, C62;C56, C57, C48;C34, C50, C62;high
CEV;Carboplatin;Etoposid;Vincristin;;;;;C69, C74, C34;C40, C41, C49;C69, C74, C34;C40, C41, C49;low
Chlorambucil + Obinutuzumab;Chlorambucil;Obinutuzumab;;;;;;C91;C82;C42;C77;high
CHOEP;Cyclophosphamid;Doxorubicin;Etoposid;Vincristin;Prednison;;;C83, C84, C85, C86;C82, C88;C77;C77;high
CHOP;Cyclophosphamid;Doxorubicin;Vincristin;Prednison;;;;C82, C83, C84, C85;C86, C88, C91, C37;C77;C77, C42, C37;high
Cis-Pem;Cisplatin;Pemetrexed;;;;;;C34, C45;C48, C38;C34, C45;C48, C38;high
Cisplatin + RT;Cisplatin;;;;;;;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32, C53;C15, C33, C34;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32, C53;C15, C33, C34;high
CMF;Cyclophosphamid;Fluorouracil;Methotrexat;;;;;C50;;C50;;high
COPP;Cyclophosphamid;Procarbazin;Vincristin;Prednison;;;;C81;C83, C85;C77;C77;high
CPX-351;Cytarabin und Daunorubicin;;;;;;;C92;D46;C42;C42, D46;high
CROSS;Carboplatin;Paclitaxel;;;;;;C15;C16;C15;C16;high
CV;Cisplatin;Vinorelbin;;;;;;C34;C33, C50, C45;C34;C33, C50, C45;medium
DA;Cytarabin;Daunorubicin;;;;;;C92;C91, C93, C94, D46;C42;C42, D46;medium
