Unnamed: 0;Protocol;Substance1;Substance2;Substance3;Substance4;Substance5;Substance6;Substance7;ICD10_Main;ICD10_Secondary;ICDO_Topography_Main;ICDO_Topography_Secondary;Confidence;Note;DuplicateGroup;DuplicateGroup_Members;DuplicateGroup_Disambiguation;SubsetOf
1;ABVD;Bleomycin;Dacarbazin;Doxorubicin;Vinblastin;NA;NA;NA;C81;;C77;;high;Standard first-line Hodgkin lymphoma.;;;unique;
2;AC;Cyclophosphamid;Doxorubicin;NA;NA;NA;NA;NA;C50;C49,C54,C40,C41;C50;C49,C54,C40,C41;high;"Standard breast; anthracycline/alkylator backbone also used in sarcoma.";;;unique;ACO,BEACOPP,BrECADD,CAD,CHOEP,CHOP,DAC,EPOCH,EPOCH-R,FAC,PAC,R-CHOP,TAC
3;ACO;Cyclophosphamid;Doxorubicin;Vincristin;NA;NA;NA;NA;C34;C74,C40,C41,C49,C83,C85;C34;C74,C40,C41,C49,C77;medium;"German SCLC protocol (Adriamycin/Cyclophosphamid/Oncovin); same trio also appears in paediatric solid tumours and as CHOP without prednisone.";;;unique;BEACOPP,CHOEP,CHOP,EPOCH,EPOCH-R,R-CHOP
4;ADR-IFO;Doxorubicin;Ifosfamid;Mesna;NA;NA;NA;NA;C49,C48,C41;C40,C38,C47,C54,C69;C49,C48,C41;C40,C38,C47,C54,C69;high;Doxorubicin/ifosfamide: standard soft tissue and bone sarcoma.;;;unique;
5;AIO;Fluorouracil;Folinsäure;NA;NA;NA;NA;NA;C18,C19,C20;C16,C15,C21,C25,C22,C23,C24;C18,C19,C20;C16,C15,C21,C25,C22,C23,C24;high;AIO weekly infusional 5-FU/FA.;DG01;LV5FU2,Mayo-Protokoll;not resolvable by entity;AIO-Irinotecan,FLO,FLOT,FOLFIRI,FOLFOX,FOLFOXIRI,FUFAMI,FUFIRI,FUFOX,Folfirinox,PLF
6;AIO-Irinotecan;Fluorouracil;Folinsäure;Irinotecan;NA;NA;NA;NA;C18,C19,C20;C16,C25;C18,C19,C20;C16,C25;high;;DG02;FOLFIRI,FUFIRI;not resolvable by entity;FOLFOXIRI,Folfirinox
7;AVD;Dacarbazin;Doxorubicin;Vinblastin;NA;NA;NA;NA;C81;;C77;;high;ABVD with bleomycin omitted.;;;unique;ABVD
8;BCD;Actinomycin D;Bleomycin;Cyclophosphamid;NA;NA;NA;NA;C40,C41,C49;C62,C56;C40,C41,C49;C62,C56;low;"AMBIGUOUS: bleomycin/cyclophosphamide/dactinomycin appears in historic osteosarcoma and rhabdomyosarcoma protocols; also resembles germ-cell schedules. Please confirm intended protocol.";;;unique;
9;BEACOPP;Bleomycin;Cyclophosphamid;Doxorubicin;Etoposid;Procarbazin;Vincristin;Prednison;C81;;C77;;high;;;;unique;
10;BEAM;BCNU;Cytarabin;Etoposid;Melphalan;NA;NA;NA;C81,C82,C83,C84,C85;C86,C88,C90,C91;C77;C77,C42;high;Autologous SCT conditioning: code the underlying lymphoma entity.;;;unique;Dexa-BEAM
11;BOLD;Bleomycin;Dacarbazin;Lomustin;Vincristin;NA;NA;NA;C43;C44,C69;C43;C44,C69;high;Melanoma.;;;unique;
12;BP;Bendamustin;Prednison;NA;NA;NA;NA;NA;C90;C91,C82,C83,C85,C88;C42;C42,C77;low;AMBIGUOUS: bendamustine/prednisone was the original German myeloma indication, but the same pair is used in CLL and indolent NHL. Please confirm.;;;unique;
13;BR;Bendamustin;Rituximab;NA;NA;NA;NA;NA;C82,C83,C88,C91;C85,C86;C77,C42;C77;high;Bendamustine/rituximab: FL, MZL, MCL, WM, CLL.;DG03;R-Bendamustin;not resolvable by entity;R-BAC
14;BrECADD;Brentuximab;Cyclophosphamid;Dacarbacin;Doxorubicin;Etoposid;Dexamethason;NA;C81;;C77;;high;;;;unique;
15;BuCy;Busulfan;Cyclophoshamid;NA;NA;NA;NA;NA;C92,C91;C93,C95,C90,D46;C42;C42,D46;medium;Allogeneic conditioning: code the underlying disease. D46 (MDS) included in secondary - drop if D-codes are out of scope.;;;unique;
16;CAD;Cyclophosphamid;Doxorubicin;Dexamethason;NA;NA;NA;NA;C90;C83,C85;C42;C77;medium;AMBIGUOUS: read as cyclophosphamide/doxorubicin/dexamethasone for myeloma mobilisation. Please confirm.;;;unique;BrECADD
17;CAPOX;Capecitabin;Oxaliplatin;NA;NA;NA;NA;NA;C18,C19,C20,C16;C15,C25,C22,C23,C24;C18,C19,C20,C16;C15,C25,C22,C23,C24;high;;DG04;XELOX;not resolvable by entity;EOX
18;Capecitabin mono;Capecitabin;NA;NA;NA;NA;NA;NA;C18,C19,C20,C50,C16;C15,C25,C22,C23,C24,C21;C18,C19,C20,C50,C16;C15,C25,C22,C23,C24,C21;high;;;;unique;CAPOX,EOX,XELOX,XP
19;CarboTax;Carboplatin;Paclitaxel;NA;NA;NA;NA;NA;C56,C57,C48,C34,C54;C53,C15,C32,C67,C50,C37,C80;C56,C57,C48,C34,C54;C53,C15,C32,C67,C50,C37,C80;high;"Very broad regimen; main list restricted to the indications where carboplatin/paclitaxel is the standard backbone.";DG05;PC ohne Bevacizumab;not resolvable by entity;PC,PC mit Bevacizumab
20;CEV;Carboplatin;Etoposid;Vincristin;NA;NA;NA;NA;C69,C74,C34;C40,C41,C49;C69,C74,C34;C40,C41,C49;low;AMBIGUOUS: carboplatin/etoposide/vincristine is the retinoblastoma and neuroblastoma backbone, but CEV is also a German SCLC schedule. Please confirm which is meant.;;;unique;
21;CHOEP;Cyclophosphamid;Doxorubicin;Etoposid;Vincristin;Prednison;NA;NA;C83,C84,C85,C86;C82,C88;C77;C77;high;"CHOP plus etoposide; preferred in T-cell lymphoma.";DG06;EPOCH;partly resolvable by entity;BEACOPP,EPOCH-R
22;CHOP;Cyclophosphamid;Doxorubicin;Vincristin;Prednison;NA;NA;NA;C82,C83,C84,C85;C86,C88,C91,C37;C77;C77,C42,C37;high;;;;unique;BEACOPP,CHOEP,EPOCH,EPOCH-R,R-CHOP
23;CMF;Cyclophosphamid;Fluorouracil;Methotrexat;NA;NA;NA;NA;C50;;C50;;high;;;;unique;
24;COPP;Cyclophosphamid;Procarbazin;Vincristin;Prednison;NA;NA;NA;C81;C83,C85;C77;C77;high;;;;unique;BEACOPP
25;CV;Cisplatin;Vinorelbin;NA;NA;NA;NA;NA;C34;C33,C50,C45;C34;C33,C50,C45;medium;Cisplatin/vinorelbine: NSCLC.;;;unique;
26;DA;Cytarabin;Daunorubicin;NA;NA;NA;NA;NA;C92;C91,C93,C94,D46;C42;C42,D46;medium;Read as '7+3' daunorubicin/cytarabine induction for AML. D46 in secondary - drop if D-codes are out of scope.;;;unique;
27;DAC;Cyclophosphamid;Docetaxel;Doxorubicin;NA;NA;NA;NA;C50;;C50;;high;Equivalent to TAC.;DG07;TAC;not resolvable by entity;
28;DC (Doce/Carbo);Carboplatin;Docetaxel;NA;NA;NA;NA;NA;C50,C56,C34;C57,C48,C54,C15,C01,C02,C03,C04,C05,C06,C09,C10,C13,C14,C32;C50,C56,C34;C57,C48,C54,C15,C01,C02,C03,C04,C05,C06,C09,C10,C13,C14,C32;medium;;;;unique;DCbH,TCH
29;DC (Doce/Cyclo);Cyclophosphamid;Docetaxel;NA;NA;NA;NA;NA;C50;;C50;;high;TC regimen.;;;unique;DAC,EC-D,FEC-Doc,TAC
30;DCbH;Carboplatin;Docetaxel;Trastuzumab;NA;NA;NA;NA;C50;C16;C50;C16;high;"TCH; HER2-directed.";DG08;TCH;not resolvable by entity;
31;DeVIC;Carboplatin;Etoposid;Ifosfamid;Dexamethason;NA;NA;NA;C86,C83,C85;C82,C84,C81;C11,C30,C77;C77;medium;Used with radiotherapy in NK/T-cell lymphoma and as salvage in aggressive NHL.;DG09;VIPD;partly resolvable by entity;R-DeVIC
32;Dexa-BEAM;Carmustin;Cytarabin;Etoposid;Melphalan;Dexamethason;NA;NA;C81,C83,C85;C82,C84;C77;C77;high;Salvage/mobilisation.;;;unique;
33;DHAP;Cisplatin;Cytarabin;Dexamethason;NA;NA;NA;NA;C81,C83,C85;C82,C84,C86,C88;C77;C77;high;Second-line lymphoma.;;;unique;R-DHAP
34;DRC;Cyclophosphamid;Rituximab;Dexamethason;NA;NA;NA;NA;C88;C82,C83,C85;C77;C77;high;Waldenstroem / marginal zone.;;;unique;
35;DVP;Cisplatin;Dacarbazin;Vindesin;NA;NA;NA;NA;C43;C69;C43;C69;medium;Melanoma.;;;unique;
36;EC;Cyclophosphamid;Epirubicin;NA;NA;NA;NA;NA;C50;C34,C49,C40,C41;C50;C34,C49,C40,C41;high;;;;unique;EC-D,EC-P,FEC,FEC-Doc
37;EC-D;Cyclophosphamid;Docetaxel;Epirubicin;NA;NA;NA;NA;C50;;C50;;high;;;;unique;FEC-Doc
38;ECF;Cisplatin;Epirubicin;Fluorouracil;NA;NA;NA;NA;C16,C15;C22,C23,C24,C25;C16,C15;C22,C23,C24,C25;high;;;;unique;
39;EC-P;Cyclophosphamid;Epirubicin;Paclitaxel;NA;NA;NA;NA;C50;;C50;;high;;;;unique;
40;ELO-Rd;Elotuzumab;Lenalidomid;Dexamethason;NA;NA;NA;NA;C90;;C42;;high;;;;unique;
41;EOX;Capecitabin;Epirubicin;Oxaliplatin;NA;NA;NA;NA;C16,C15;C22,C23,C24;C16,C15;C22,C23,C24;high;;;;unique;
42;EXTREME mit Carboplatin;Carboplatin;Cetuximab;Fluorouracil;NA;NA;NA;NA;C01,C02,C03,C04,C05,C06,C09,C10,C13,C14,C32;C00,C07,C08,C11,C12,C30,C31,C15;C01,C02,C03,C04,C05,C06,C09,C10,C13,C14,C32;C00,C07,C08,C11,C12,C30,C31,C15;high;Recurrent/metastatic head and neck SCC.;;;unique;
