Unnamed: 0;Protocol;Substance1;Substance2;Substance3;Substance4;Substance5;Substance6;Substance7;ICD10_Main;ICD10_Secondary;ICDO_Topography_Main;ICDO_Topography_Secondary;Confidence;Note;DuplicateGroup;DuplicateGroup_Members;DuplicateGroup_Disambiguation;SubsetOf;SingleAgent
1;ABVD;Bleomycin;Dacarbazin;Doxorubicin;Vinblastin;NA;NA;NA;C81;;C77;;high;Standard first-line Hodgkin lymphoma.;;;unique;;FALSE
2;AC;Cyclophosphamid;Doxorubicin;NA;NA;NA;NA;NA;C50;C49,C54,C40,C41;C50;C49,C54,C40,C41;high;"Standard breast; anthracycline/alkylator backbone also used in sarcoma.";;;unique;ACO,BEACOPP,BrECADD,CAD,CHOEP,CHOP,DAC,EPOCH,EPOCH-R,FAC,Hyper-CVAD,PAC,Pola-R-CHP,R-CHOP,TAC;FALSE
3;ACO;Cyclophosphamid;Doxorubicin;Vincristin;NA;NA;NA;NA;C34;C74,C40,C41,C49,C83,C85;C34;C74,C40,C41,C49,C77;medium;"German SCLC protocol (Adriamycin/Cyclophosphamid/Oncovin); same trio also appears in paediatric solid tumours and as CHOP without prednisone.";;;unique;BEACOPP,CHOEP,CHOP,EPOCH,EPOCH-R,Hyper-CVAD,R-CHOP;FALSE
4;ADR-IFO;Doxorubicin;Ifosfamid;Mesna;NA;NA;NA;NA;C49,C48,C41;C40,C38,C47,C54,C69;C49,C48,C41;C40,C38,C47,C54,C69;high;Doxorubicin/ifosfamide: standard soft tissue and bone sarcoma.;;;unique;VIDE;FALSE
5;AIO;Fluorouracil;Folinsäure;NA;NA;NA;NA;NA;C18,C19,C20;C16,C15,C21,C25,C22,C23,C24;C18,C19,C20;C16,C15,C21,C25,C22,C23,C24;high;AIO weekly infusional 5-FU/FA.;DG01;LV5FU2,Mayo-Protokoll;not resolvable by entity;AIO-Irinotecan,FLO,FLOT,FOLFIRI,FOLFIRI + Bevacizumab,FOLFIRI + Cetuximab,FOLFOX,FOLFOX + Bevacizumab,FOLFOX + Panitumumab,FOLFOXIRI,FUFAMI,FUFIRI,FUFOX,Folfirinox,PLF,nal-IRI + 5-FU/FA;FALSE
6;AIO-Irinotecan;Fluorouracil;Folinsäure;Irinotecan;NA;NA;NA;NA;C18,C19,C20;C16,C25;C18,C19,C20;C16,C25;high;;DG02;FOLFIRI,FUFIRI;not resolvable by entity;FOLFIRI + Bevacizumab,FOLFIRI + Cetuximab,FOLFOXIRI,Folfirinox;FALSE
7;AVD;Dacarbazin;Doxorubicin;Vinblastin;NA;NA;NA;NA;C81;;C77;;high;ABVD with bleomycin omitted.;;;unique;A+AVD,ABVD;FALSE
8;BCD;Actinomycin D;Bleomycin;Cyclophosphamid;NA;NA;NA;NA;C40,C41,C49;C62,C56;C40,C41,C49;C62,C56;low;"AMBIGUOUS: bleomycin/cyclophosphamide/dactinomycin appears in historic osteosarcoma and rhabdomyosarcoma protocols; also resembles germ-cell schedules. Please confirm intended protocol.";;;unique;;FALSE
9;BEACOPP;Bleomycin;Cyclophosphamid;Doxorubicin;Etoposid;Procarbazin;Vincristin;Prednison;C81;;C77;;high;;;;unique;;FALSE
10;BEAM;BCNU;Cytarabin;Etoposid;Melphalan;NA;NA;NA;C81,C82,C83,C84,C85;C86,C88,C90,C91;C77;C77,C42;high;Autologous SCT conditioning: code the underlying lymphoma entity.;;;unique;Dexa-BEAM;FALSE
