Source:;Basis: ZFKD 2025, modified, annotated with support by Claude Opus, modified, Enhanced with support by Claude Opus, modified;;;;;;;;;;;;;;;;;;
Regime;Substance1;Substance2;Substance3;Substance4;Substance5;Substance6;Substance7;Inclusion.ICD10.Short;Inclusion.ICD10.Short.SecondaryUse;Inclusion.ICDO.TopographyCode.Short;Inclusion.ICDO.TopographyCode.Short.SecondaryUse;Confidence;DuplicateGroup;DuplicateGroup.Members;DuplicateGroup.Disambiguation;SubsetOf;SingleAgent;Therapy.Line;Therapy.Context
A+AVD;Brentuximab;Doxorubicin;Vinblastin;Dacarbazin;;;;C81;;C77;;high;;;unique;;FALSE;first-line;curative-intent
Abemaciclib + Fulvestrant;Abemaciclib;Fulvestrant;;;;;;C50;;C50;;high;;;unique;;FALSE;second-line+;palliative
Abirateron + Prednison;Abirateron;Prednison;;;;;;C61;;C61;;high;;;unique;;FALSE;first-line and later;palliative
ABVD;Bleomycin;Dacarbazin;Doxorubicin;Vinblastin;;;;C81;;C77;;high;;;unique;;FALSE;first-line;curative-intent
AC;Cyclophosphamid;Doxorubicin;;;;;;C50;C49,  C54,  C40,  C41;C50;C49,  C54,  C40,  C41;high;;;unique;ACO,BEACOPP,BrECADD,CAD,CHOEP,CHOP,EPOCH-R,FAC,Hyper-CVAD,PAC,Pola-R-CHP,R-CHOP,TAC;FALSE;first-line;neoadjuvant,adjuvant,curative-intent
ACO;Cyclophosphamid;Doxorubicin;Vincristin;;;;;C34;C74,  C40,  C41,  C49,  C83,  C85;C34;C74,  C40,  C41,  C49,  C77;medium;;;unique;BEACOPP,CHOEP,CHOP,EPOCH-R,Hyper-CVAD,R-CHOP;FALSE;first-line;palliative
ADR-IFO;Doxorubicin;Ifosfamid;Mesna;;;;;C49,  C48,  C41;C40,  C38,  C47,  C54,  C69;C49, C48, C41;C40, C38, C47, C54, C69;high;;;unique;VIDE;FALSE;first-line;palliative,neoadjuvant
AI + GnRH-Analogon;Exemestan;GnRH-Analogon;;;;;;C50;;C50;;high;;;unique;;FALSE;first-line and later;adjuvant,palliative,long-term endocrine
AIDA;Tretinoin;Idarubicin;;;;;;C92;;C42;;high;;;unique;;FALSE;first-line;induction,curative-intent
AIO;Fluorouracil;Folinsäure;;;;;;C18, C19, C20;C16, C15, C21, C25, C22, C23, C24;C18, C19, C20;C16, C15, C21, C25, C22, C23, C24;high;;;unique;FLO,FLOT,FOLFIRI,FOLFIRI + Bevacizumab,FOLFIRI + Cetuximab,FOLFOX,FOLFOX + Bevacizumab,FOLFOX + Panitumumab,FOLFOXIRI,FUFAMI,Folfirinox,PLF,nal-IRI + 5-FU/FA;FALSE;;palliative
Alectinib;Alectinib;;;;;;;C34;;C34;;high;;;unique;;TRUE;first-line;palliative
Anastrozol;Anastrozol;;;;;;;C50;;C50;;high;;;unique;;TRUE;first-line and later;adjuvant,palliative,long-term endocrine
Apalutamid;Apalutamid;;;;;;;C61;;C61;;high;;;unique;;TRUE;first-line and later;palliative
Atezolizumab + Bevacizumab;Atezolizumab;Bevacizumab;;;;;;C22;;C22;;high;;;unique;;FALSE;first-line;palliative
Atezolizumab + Carbo/Etoposid;Atezolizumab;Carboplatin;Etoposid;;;;;C34;;C34;;high;;;unique;;FALSE;first-line;palliative
ATRA + ATO;Tretinoin;Arsentrioxid;;;;;;C92;;C42;;high;;;unique;;FALSE;first-line;induction,consolidation,curative-intent
AVD;Dacarbazin;Doxorubicin;Vinblastin;;;;;C81;;C77;;high;;;unique;A+AVD,ABVD;FALSE;first-line;curative-intent
Avelumab Erhaltung;Avelumab;;;;;;;C67, C65, C66, C68;;C67, C65, C66, C68;;high;;;unique;;TRUE;;maintenance,palliative
Azacitidin + Venetoclax;Azacitidin;Venetoclax;;;;;;C92;D46;C42;C42, D46;high;;;unique;;FALSE;first-line;palliative
Azacitidin mono;Azacitidin;;;;;;;C92;C93, D46;C42;C42, D46;high;;;unique;Azacitidin + Venetoclax;TRUE;first-line;palliative
BEACOPP;Bleomycin;Cyclophosphamid;Doxorubicin;Etoposid;Procarbazin;Vincristin;Prednison;C81;;C77;;high;;;unique;;FALSE;first-line;curative-intent
BEAM;Carmustin;Cytarabin;Etoposid;Melphalan;;;;C81, C82, C83, C84, C85;C86, C88, C90, C91;C77;C77, C42;high;;;unique;Dexa-BEAM;FALSE;second-line+;SCT-conditioning
Bevacizumab mono;Bevacizumab;;;;;;;C71;C70, C72;C71;C70, C72;medium;;;unique;Atezolizumab + Bevacizumab,FOLFIRI + Bevacizumab,FOLFOX + Bevacizumab,GC-B (Carbo),GC-B (Cis),PC mit Bevacizumab,Paclitaxel/Cisplatin/Bevacizumab;TRUE;second-line+;palliative
Bicalutamid;Bicalutamid;;;;;;;C61;;C61;;high;;;unique;;TRUE;;palliative
Blinatumomab;Blinatumomab;;;;;;;C91;;C42;;high;;;unique;;TRUE;second-line+;palliative
BOLD;Bleomycin;Dacarbazin;Lomustin;Vincristin;;;;C43;C44, C69;C43;C44, C69;high;;;unique;;FALSE;;palliative
BP;Bendamustin;Prednison;;;;;;C90;C91, C82, C83, C85, C88;C42;C42, C77;low;;;unique;;FALSE;;palliative
BrECADD;Brentuximab;Cyclophosphamid;Dacarbazin;Doxorubicin;Etoposid;Dexamethason;;C81;;C77;;high;;;unique;;FALSE;first-line;curative-intent
Brentuximab mono;Brentuximab;;;;;;;C81, C84;C85;C77;C77;high;;;unique;A+AVD,BrECADD;TRUE;second-line+;palliative
BuCy;Busulfan;Cyclophosphamid;;;;;;C92, C91;C93, C95, C90, D46;C42;C42, D46;medium;;;unique;;FALSE;;SCT-conditioning
Cabazitaxel + Prednison;Cabazitaxel;Prednison;;;;;;C61;;C61;;high;;;unique;;FALSE;second-line+;palliative
Cabozantinib;Cabozantinib;;;;;;;C64;C22, C73;C64;C22, C73;high;;;unique;;TRUE;first-line and later;palliative
CAD;Cyclophosphamid;Doxorubicin;Dexamethason;;;;;C90;C83, C85;C42;C77;medium;;;unique;BrECADD,Hyper-CVAD;FALSE;;stem-cell mobilisation
Capecitabin mono;Capecitabin;;;;;;;C18, C19, C20, C50, C16;C15, C25, C22, C23, C24, C21;C18, C19, C20, C50, C16;C15, C25, C22, C23, C24, C21;high;;;unique;CAPOX,CAPTEM,EOX,XP;TRUE;first-line and later;adjuvant,palliative
CAPOX;Capecitabin;Oxaliplatin;;;;;;C18, C19, C20, C16;C15, C25, C22, C23, C24;C18, C19, C20, C16;C15, C25, C22, C23, C24;high;;;unique;EOX;FALSE;first-line;adjuvant,perioperative,palliative
CAPTEM;Capecitabin;Temozolomid;;;;;;C25, C17;C34, C18, C73;C25, C17;C34, C18, C73;high;;;unique;;FALSE;first-line and later;palliative
CarboPemPem;Carboplatin;Pembrolizumab;Pemetrexed;;;;;C34, C45;C48, C38, C33;C34, C45;C48, C38, C33;high;DG01;Pembro + Carbo/Pem;partly resolvable by entity;;FALSE;first-line;palliative,maintenance
Carboplatin mono;Carboplatin;;;;;;;C56, C57, C48;C34, C50, C62;C56, C57, C48;C34, C50, C62;high;;;unique;Atezolizumab + Carbo/Etoposid,CEV,CROSS,CarboPemPem,DC (Doce/Carbo),DeVIC,Durvalumab + Platin/Etoposid,EXTREME mit Carboplatin,GC-B (Carbo),Gem-Carbo,ICE,M-Cavi,PC,PC mit Bevacizumab,PE-Carbo,Pembro + Carbo/Paclitaxel,Pembro + Carbo/Pem,R-DeVIC,R-ICE,TCH;TRUE;first-line;adjuvant,palliative
