Source:;Basis: ZFKD 2025, modified, annotated with support by Claude Opus, modified, Enhanced with support by Claude Opus, modified;;;;;;;;;;;;;;;;;;;;;;;;;
Regime;Substance1;Substance2;Substance3;Substance4;Substance5;Substance6;Substance7;Inclusion.ICD10.Short;Inclusion.ICD10.Short.SecondaryUse;Inclusion.ICDO.TopographyCode.Short;Inclusion.ICDO.TopographyCode.Short.SecondaryUse;Inclusion.ICD10.Detailed;Inclusion.ICD10.Detailed.SecondaryUse;Inclusion.ICDO.Morphology;Inclusion.Biomarker.RequiredAll;Inclusion.Biomarker.RequiredAny;Confidence;DuplicateGroup;DuplicateGroup.Members;DuplicateGroup.Disambiguation;SubsetOf;SingleAgent;Therapy.Line;Therapy.Line.Confidence;Therapy.Context;Therapy.Context.Confidence
A+AVD;Brentuximab;Doxorubicin;Vinblastin;Dacarbazin;;;;C81;;C77;;;;9650/3-9667/3;CD30-positive;;high;;;unique;;FALSE;first-line;high;curative-intent;high
Abemaciclib + Fulvestrant;Abemaciclib;Fulvestrant;;;;;;C50;;C50;;;;8500/3,8520/3;HR-positive, HER2-negative;;high;;;unique;;FALSE;second-line+;medium;palliative;high
Abirateron + Prednison;Abirateron;Prednison;;;;;;C61;;C61;;;;8140/3;;;high;;;unique;;FALSE;first-line and later;medium;palliative;high
ABVD;Bleomycin;Dacarbazin;Doxorubicin;Vinblastin;;;;C81;;C77;;;;9650/3-9667/3;;;high;;;unique;;FALSE;first-line;high;curative-intent;high
AC;Cyclophosphamid;Doxorubicin;;;;;;C50;C49,  C54,  C40,  C41;C50;C49,  C54,  C40,  C41;;;8500/3,8520/3;;;high;;;unique;ACO,BEACOPP,BrECADD,CAD,CHOEP,CHOP,EPOCH-R,FAC,Hyper-CVAD,PAC,Pola-R-CHP,R-CHOP,TAC;FALSE;first-line;high;neoadjuvant,adjuvant,curative-intent;high
ACO;Cyclophosphamid;Doxorubicin;Vincristin;;;;;C34;C74,  C40,  C41,  C49,  C83,  C85;C34;C74,  C40,  C41,  C49,  C77;;;8041/3-8045/3;;;medium;;;unique;BEACOPP,CHOEP,CHOP,EPOCH-R,Hyper-CVAD,R-CHOP;FALSE;first-line;high;palliative;high
ADR-IFO;Doxorubicin;Ifosfamid;Mesna;;;;;C49,  C48,  C41;C40,  C38,  C47,  C54,  C69;C49, C48, C41;C40, C38, C47, C54, C69;;;8800/3-8890/3;;;high;;;unique;VIDE;FALSE;first-line;high;palliative,neoadjuvant;high
AI + GnRH-Analogon;Exemestan;GnRH-Analogon;;;;;;C50;;C50;;;;8500/3,8520/3;HR-positive;;high;;;unique;;FALSE;first-line and later;medium;adjuvant,palliative,long-term endocrine;high
AIDA;Tretinoin;Idarubicin;;;;;;C92;;C42;;C92.4;;9866/3;PML-RARA-positive;;high;;;unique;;FALSE;first-line;high;induction,curative-intent;high
AIO;Fluorouracil;Folinsäure;;;;;;C18, C19, C20;C16, C15, C21, C25, C22, C23, C24;C18, C19, C20;C16, C15, C21, C25, C22, C23, C24;;;8140/3;;;high;;;unique;FLO,FLOT,FOLFIRI,FOLFIRI + Bevacizumab,FOLFIRI + Cetuximab,FOLFOX,FOLFOX + Bevacizumab,FOLFOX + Panitumumab,FOLFOXIRI,FUFAMI,Folfirinox,PLF,nal-IRI + 5-FU/FA;FALSE;;;palliative;medium
Alectinib;Alectinib;;;;;;;C34;;C34;;;;8140/3,8250/3,8255/3;ALK-rearranged;;high;;;unique;;TRUE;first-line;high;palliative;high
Anastrozol;Anastrozol;;;;;;;C50;;C50;;;;8500/3,8520/3;HR-positive;;high;;;unique;;TRUE;first-line and later;medium;adjuvant,palliative,long-term endocrine;high
Apalutamid;Apalutamid;;;;;;;C61;;C61;;;;8140/3;;;high;;;unique;;TRUE;first-line and later;medium;palliative;high
Atezolizumab + Bevacizumab;Atezolizumab;Bevacizumab;;;;;;C22;;C22;;C22.0;;8170/3;;;high;;;unique;;FALSE;first-line;high;palliative;high
Atezolizumab + Carbo/Etoposid;Atezolizumab;Carboplatin;Etoposid;;;;;C34;;C34;;;;8041/3-8045/3;;;high;;;unique;;FALSE;first-line;high;palliative;high
ATRA + ATO;Tretinoin;Arsentrioxid;;;;;;C92;;C42;;C92.4;;9866/3;PML-RARA-positive;;high;;;unique;;FALSE;first-line;high;induction,consolidation,curative-intent;high
AVD;Dacarbazin;Doxorubicin;Vinblastin;;;;;C81;;C77;;;;9650/3-9667/3;;;high;;;unique;A+AVD,ABVD;FALSE;first-line;high;curative-intent;high
Avelumab Erhaltung;Avelumab;;;;;;;C67, C65, C66, C68;;C67, C65, C66, C68;;;;8120/3;;;high;;;unique;;TRUE;;;maintenance,palliative;high
Azacitidin + Venetoclax;Azacitidin;Venetoclax;;;;;;C92;D46;C42;C42, D46;C92.0;;9861/3,9895/3,9896/3;;;high;;;unique;;FALSE;first-line;high;palliative;high
Azacitidin mono;Azacitidin;;;;;;;C92;C93, D46;C42;C42, D46;C92.0;;9861/3,9895/3,9896/3,9985/3,9989/3;;;high;;;unique;Azacitidin + Venetoclax;TRUE;first-line;high;palliative;high
BEACOPP;Bleomycin;Cyclophosphamid;Doxorubicin;Etoposid;Procarbazin;Vincristin;Prednison;C81;;C77;;;;9650/3-9667/3;;;high;;;unique;;FALSE;first-line;high;curative-intent;high
BEAM;Carmustin;Cytarabin;Etoposid;Melphalan;;;;C81, C82, C83, C84, C85;C86, C88, C90, C91;C77;C77, C42;C81, C82, C83.3, C84, C85;;9680/3,9690/3,9673/3,9650/3-9667/3,9702/3,9705/3,9714/3;;;high;;;unique;Dexa-BEAM;FALSE;second-line+;medium;SCT-conditioning;high
Bevacizumab mono;Bevacizumab;;;;;;;C71;C70, C72;C71;C70, C72;;;9440/3,9445/3;;;medium;;;unique;Atezolizumab + Bevacizumab,FOLFIRI + Bevacizumab,FOLFOX + Bevacizumab,GC-B (Carbo),GC-B (Cis),PC mit Bevacizumab,Paclitaxel/Cisplatin/Bevacizumab;TRUE;second-line+;high;palliative;high
Bicalutamid;Bicalutamid;;;;;;;C61;;C61;;;;8140/3;;;high;;;unique;;TRUE;;;palliative;medium
Blinatumomab;Blinatumomab;;;;;;;C91;;C42;;C91.0;;9811/3,9835/3;CD19-positive;;high;;;unique;;TRUE;second-line+;high;palliative;high
BOLD;Bleomycin;Dacarbazin;Lomustin;Vincristin;;;;C43;C44, C69;C43;C44, C69;;;8720/3;;;high;;;unique;;FALSE;;;palliative;medium
BP;Bendamustin;Prednison;;;;;;C90;C91, C82, C83, C85, C88;C42;C42, C77;C90.0;C91.1, C82, C83, C85, C88;9732/3,9823/3;;;low;;;unique;;FALSE;;;palliative;medium
