Source:;Basis: ZFKD 2025, modified, annotated with support by Claude Opus, modified, Enhanced with support by Claude Opus, modified;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Regime;Substance1;Substance2;Substance3;Substance4;Substance5;Substance6;Substance7;Inclusion.ICD10.Short;Inclusion.ICD10.Short.Confidence;Inclusion.ICD10.Short.SecondaryUse;Inclusion.ICD10.Short.SecondaryUse.Confidence;Inclusion.ICDO.TopographyCode.Short;Inclusion.ICDO.TopographyCode.Short.Confidence;Inclusion.ICDO.TopographyCode.Short.SecondaryUse;Inclusion.ICDO.TopographyCode.Short.SecondaryUse.Confidence;Inclusion.ICD10.Detailed;Inclusion.ICD10.Detailed.Confidence;Inclusion.ICD10.Detailed.SecondaryUse;Inclusion.ICD10.Detailed.SecondaryUse.Confidence;Inclusion.ICDO.Morphology;Inclusion.ICDO.Morphology.Confidence;Inclusion.Biomarker.RequiredAll;Inclusion.Biomarker.RequiredAll.Confidence;Inclusion.Biomarker.RequiredAny;Inclusion.Biomarker.RequiredAny.Confidence;Confidence;DuplicateGroup;DuplicateGroup.Members;DuplicateGroup.Disambiguation;SubsetOf;SingleAgent;Therapy.Line;Therapy.Line.Confidence;Therapy.Context;Therapy.Context.Confidence
A+AVD;Brentuximab;Doxorubicin;Vinblastin;Dacarbazin;;;;C81;high;;;C77;high;;;;;;;9650/3-9667/3;high;CD30-positive;high;;;high;;;unique;;FALSE;first-line;high;curative-intent;high
Abemaciclib + Fulvestrant;Abemaciclib;Fulvestrant;;;;;;C50;high;;;C50;high;;;;;;;8500/3,8520/3;medium;HR-positive, HER2-negative;high;;;high;;;unique;;FALSE;second-line+;medium;palliative;high
Abirateron + Prednison;Abirateron;Prednison;;;;;;C61;high;;;C61;high;;;;;;;8140/3;high;;;;;high;;;unique;;FALSE;first-line and later;medium;palliative;high
ABVD;Bleomycin;Dacarbazin;Doxorubicin;Vinblastin;;;;C81;high;;;C77;high;;;;;;;9650/3-9667/3;high;;;;;high;;;unique;;FALSE;first-line;high;curative-intent;high
AC;Cyclophosphamid;Doxorubicin;;;;;;C50;high;C49,  C54,  C40,  C41;medium;C50;high;C49,  C54,  C40,  C41;medium;;;;;8500/3,8520/3;medium;;;;;high;;;unique;ACO,BEACOPP,BrECADD,CAD,CHOEP,CHOP,EPOCH-R,FAC,Hyper-CVAD,PAC,Pola-R-CHP,R-CHOP,TAC;FALSE;first-line;high;neoadjuvant,adjuvant,curative-intent;high
ACO;Cyclophosphamid;Doxorubicin;Vincristin;;;;;C34;medium;C74,  C40,  C41,  C49,  C83,  C85;low;C34;medium;C74,  C40,  C41,  C49,  C77;low;;;;;8041/3-8045/3;high;;;;;medium;;;unique;BEACOPP,CHOEP,CHOP,EPOCH-R,Hyper-CVAD,R-CHOP;FALSE;first-line;high;palliative;high
ADR-IFO;Doxorubicin;Ifosfamid;Mesna;;;;;C49,  C48,  C41;high;C40,  C38,  C47,  C54,  C69;medium;C49, C48, C41;high;C40, C38, C47, C54, C69;medium;;;;;8800/3-8890/3;medium;;;;;high;;;unique;VIDE;FALSE;first-line;high;palliative,neoadjuvant;high
AI + GnRH-Analogon;Exemestan;GnRH-Analogon;;;;;;C50;high;;;C50;high;;;;;;;8500/3,8520/3;medium;HR-positive;high;;;high;;;unique;;FALSE;first-line and later;medium;adjuvant,palliative,long-term endocrine;high
AIDA;Tretinoin;Idarubicin;;;;;;C92;high;;;C42;high;;;C92.4;high;;;9866/3;high;PML-RARA-positive;high;;;high;;;unique;;FALSE;first-line;high;induction,curative-intent;high
AIO;Fluorouracil;Folinsäure;;;;;;C18, C19, C20;high;C16, C15, C21, C25, C22, C23, C24;low;C18, C19, C20;high;C16, C15, C21, C25, C22, C23, C24;low;;;;;8140/3;medium;;;;;high;;;unique;FLO,FLOT,FOLFIRI,FOLFIRI + Bevacizumab,FOLFIRI + Cetuximab,FOLFOX,FOLFOX + Bevacizumab,FOLFOX + Panitumumab,FOLFOXIRI,FUFAMI,Folfirinox,PLF,nal-IRI + 5-FU/FA;FALSE;;;palliative;medium
Alectinib;Alectinib;;;;;;;C34;high;;;C34;high;;;;;;;8140/3,8250/3,8255/3;medium;ALK-rearranged;high;;;high;;;unique;;TRUE;first-line;high;palliative;high
Anastrozol;Anastrozol;;;;;;;C50;high;;;C50;high;;;;;;;8500/3,8520/3;medium;HR-positive;high;;;high;;;unique;;TRUE;first-line and later;medium;adjuvant,palliative,long-term endocrine;high
Apalutamid;Apalutamid;;;;;;;C61;high;;;C61;high;;;;;;;8140/3;high;;;;;high;;;unique;;TRUE;first-line and later;medium;palliative;high
Atezolizumab + Bevacizumab;Atezolizumab;Bevacizumab;;;;;;C22;high;;;C22;high;;;C22.0;high;;;8170/3;high;;;;;high;;;unique;;FALSE;first-line;high;palliative;high
Atezolizumab + Carbo/Etoposid;Atezolizumab;Carboplatin;Etoposid;;;;;C34;high;;;C34;high;;;;;;;8041/3-8045/3;high;;;;;high;;;unique;;FALSE;first-line;high;palliative;high
ATRA + ATO;Tretinoin;Arsentrioxid;;;;;;C92;high;;;C42;high;;;C92.4;high;;;9866/3;high;PML-RARA-positive;high;;;high;;;unique;;FALSE;first-line;high;induction,consolidation,curative-intent;high
AVD;Dacarbazin;Doxorubicin;Vinblastin;;;;;C81;high;;;C77;high;;;;;;;9650/3-9667/3;high;;;;;high;;;unique;A+AVD,ABVD;FALSE;first-line;high;curative-intent;high
Avelumab Erhaltung;Avelumab;;;;;;;C67, C65, C66, C68;high;;;C67, C65, C66, C68;high;;;;;;;8120/3;high;;;;;high;;;unique;;TRUE;;;maintenance,palliative;high
Azacitidin + Venetoclax;Azacitidin;Venetoclax;;;;;;C92;high;D46;high;C42;high;C42, D46;high;C92.0;high;;;9861/3,9895/3,9896/3;high;;;;;high;;;unique;;FALSE;first-line;high;palliative;high
Azacitidin mono;Azacitidin;;;;;;;C92;high;C93, D46;high;C42;high;C42, D46;high;C92.0;high;;;9861/3,9895/3,9896/3,9985/3,9989/3;medium;;;;;high;;;unique;Azacitidin + Venetoclax;TRUE;first-line;high;palliative;high
BEACOPP;Bleomycin;Cyclophosphamid;Doxorubicin;Etoposid;Procarbazin;Vincristin;Prednison;C81;high;;;C77;high;;;;;;;9650/3-9667/3;high;;;;;high;;;unique;;FALSE;first-line;high;curative-intent;high
BEAM;Carmustin;Cytarabin;Etoposid;Melphalan;;;;C81, C82, C83, C84, C85;high;C86, C88, C90, C91;medium;C77;high;C77, C42;medium;C81, C82, C83.3, C84, C85;medium;;;9680/3,9690/3,9673/3,9650/3-9667/3,9702/3,9705/3,9714/3;medium;;;;;high;;;unique;Dexa-BEAM;FALSE;second-line+;medium;SCT-conditioning;high
Bevacizumab mono;Bevacizumab;;;;;;;C71;medium;C70, C72;medium;C71;medium;C70, C72;medium;;;;;9440/3,9445/3;high;;;;;medium;;;unique;Atezolizumab + Bevacizumab,FOLFIRI + Bevacizumab,FOLFOX + Bevacizumab,GC-B (Carbo),GC-B (Cis),PC mit Bevacizumab,Paclitaxel/Cisplatin/Bevacizumab;TRUE;second-line+;high;palliative;high
Bicalutamid;Bicalutamid;;;;;;;C61;high;;;C61;high;;;;;;;8140/3;high;;;;;high;;;unique;;TRUE;;;palliative;medium
Blinatumomab;Blinatumomab;;;;;;;C91;high;;;C42;high;;;C91.0;high;;;9811/3,9835/3;high;CD19-positive;medium;;;high;;;unique;;TRUE;second-line+;high;palliative;high
BOLD;Bleomycin;Dacarbazin;Lomustin;Vincristin;;;;C43;high;C44, C69;high;C43;high;C44, C69;high;;;;;8720/3;high;;;;;high;;;unique;;FALSE;;;palliative;medium
BP;Bendamustin;Prednison;;;;;;C90;low;C91, C82, C83, C85, C88;low;C42;low;C42, C77;low;C90.0;high;C91.1, C82, C83, C85, C88;high;9732/3,9823/3;high;;;;;low;;;unique;;FALSE;;;palliative;medium
BrECADD;Brentuximab;Cyclophosphamid;Dacarbazin;Doxorubicin;Etoposid;Dexamethason;;C81;high;;;C77;high;;;;;;;9650/3-9667/3;high;CD30-positive;high;;;high;;;unique;;FALSE;first-line;high;curative-intent;high
Brentuximab mono;Brentuximab;;;;;;;C81, C84;high;C85;high;C77;high;C77;high;;;;;9650/3-9667/3,9702/3,9705/3,9714/3;medium;CD30-positive;high;;;high;;;unique;A+AVD,BrECADD;TRUE;second-line+;high;palliative;high
BuCy;Busulfan;Cyclophosphamid;;;;;;C92, C91;medium;C93, C95, C90, D46;medium;C42;medium;C42, D46;high;C92.0, C91.0;high;;;9861/3,9895/3,9896/3,9811/3,9835/3;high;;;;;medium;;;unique;;FALSE;;;SCT-conditioning;high
Cabazitaxel + Prednison;Cabazitaxel;Prednison;;;;;;C61;high;;;C61;high;;;;;;;8140/3;high;;;;;high;;;unique;;FALSE;second-line+;high;palliative;high
Cabozantinib;Cabozantinib;;;;;;;C64;high;C22, C73;high;C64;high;C22, C73;high;;;C22.0, C73;high;8310/3,8312/3,8170/3,8345/3;medium;;;;;high;;;unique;;TRUE;first-line and later;medium;palliative;high
CAD;Cyclophosphamid;Doxorubicin;Dexamethason;;;;;C90;medium;C83, C85;medium;C42;medium;C77;medium;C90.0;high;;;9732/3;high;;;;;medium;;;unique;BrECADD,Hyper-CVAD;FALSE;;;stem-cell mobilisation;high
Capecitabin mono;Capecitabin;;;;;;;C18, C19, C20, C50, C16;high;C15, C25, C22, C23, C24, C21;low;C18, C19, C20, C50, C16;high;C15, C25, C22, C23, C24, C21;low;;;;;8500/3,8520/3,8140/3;medium;;;;;high;;;unique;CAPOX,CAPTEM,EOX,XP;TRUE;first-line and later;medium;adjuvant,palliative;medium
CAPOX;Capecitabin;Oxaliplatin;;;;;;C18, C19, C20, C16;high;C15, C25, C22, C23, C24;medium;C18, C19, C20, C16;high;C15, C25, C22, C23, C24;medium;;;;;8140/3;medium;;;;;high;;;unique;EOX;FALSE;first-line;high;adjuvant,perioperative,palliative;high
CAPTEM;Capecitabin;Temozolomid;;;;;;C25, C17;high;C34, C18, C73;medium;C25, C17;high;C34, C18, C73;medium;C25.4, C17;high;;;8240/3,8246/3,8249/3;high;;;;;high;;;unique;;FALSE;first-line and later;medium;palliative;medium
CarboPemPem;Carboplatin;Pembrolizumab;Pemetrexed;;;;;C34, C45;high;C48, C38, C33;medium;C34, C45;high;C48, C38, C33;medium;;;;;8140/3,8250/3,8255/3,9050/3-9053/3;medium;;;;;high;DG01;Pembro + Carbo/Pem;partly resolvable by entity;;FALSE;first-line;high;palliative,maintenance;high
Carboplatin mono;Carboplatin;;;;;;;C56, C57, C48;high;C34, C50, C62;medium;C56, C57, C48;high;C34, C50, C62;medium;;;;;8441/3,8460/3,8461/3;medium;;;;;high;;;unique;Atezolizumab + Carbo/Etoposid,CEV,CROSS,CarboPemPem,DC (Doce/Carbo),DeVIC,Durvalumab + Platin/Etoposid,EXTREME mit Carboplatin,GC-B (Carbo),Gem-Carbo,ICE,M-Cavi,PC,PC mit Bevacizumab,PE-Carbo,Pembro + Carbo/Paclitaxel,Pembro + Carbo/Pem,R-DeVIC,R-ICE,TCH;TRUE;first-line;medium;adjuvant,palliative;medium
CEV;Carboplatin;Etoposid;Vincristin;;;;;C69, C74, C34;low;C40, C41, C49;low;C69, C74, C34;low;C40, C41, C49;low;C69.2, C74, C34;high;;;8041/3-8045/3,9510/3;high;;;;;low;;;unique;;FALSE;first-line;high;palliative;high
Chlorambucil + Obinutuzumab;Chlorambucil;Obinutuzumab;;;;;;C91;high;C82;high;C42;high;C77;high;C91.1;high;;;9823/3;high;CD20-positive;high;;;high;;;unique;;FALSE;first-line;high;palliative;high
CHOEP;Cyclophosphamid;Doxorubicin;Etoposid;Vincristin;Prednison;;;C83, C84, C85, C86;high;C82, C88;high;C77;high;C77;high;C83.3, C84, C85, C86;high;;;9702/3,9705/3,9714/3,9680/3;medium;;;;;high;;;unique;BEACOPP,EPOCH-R;FALSE;first-line;high;curative-intent;high
CHOP;Cyclophosphamid;Doxorubicin;Vincristin;Prednison;;;;C82, C83, C84, C85;high;C86, C88, C91, C37;medium;C77;high;C77, C42, C37;medium;C82, C83.3, C84, C85;high;;;9680/3,9690/3,9691/3,9695/3,9698/3,9702/3,9705/3,9714/3;medium;;;;;high;;;unique;BEACOPP,CHOEP,EPOCH-R,R-CHOP;FALSE;first-line;high;curative-intent;high
Cis-Pem;Cisplatin;Pemetrexed;;;;;;C34, C45;high;C48, C38;high;C34, C45;high;C48, C38;high;;;;;8140/3,8250/3,8255/3,9050/3-9053/3;medium;;;;;high;;;unique;;FALSE;first-line;high;palliative;high
Cisplatin + RT;Cisplatin;;;;;;;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32, C53;high;C15, C33, C34;medium;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32, C53;high;C15, C33, C34;medium;;;;;8070/3,8140/3;medium;;;;;high;;;unique;CV,Cis-Pem,DHAP,DVP,Durvalumab + Gem/Cis,ECF,EXTREME mit Cisplatin,GC-B (Cis),GDP-Schema,Gem-Cis,M-VAC,MAP,PAC,PE,PEB,PEI,PF,PLF,PVBI,Paclitaxel/Cisplatin/Bevacizumab,Pembro + Platin/5-FU,R-DHAP,TIP,TPF,VIPD,VeIP,XP;TRUE;first-line;high;chemoradiotherapy,curative-intent;high
CMF;Cyclophosphamid;Fluorouracil;Methotrexat;;;;;C50;high;;;C50;high;;;;;;;8500/3,8520/3;medium;;;;;high;;;unique;;FALSE;first-line;high;adjuvant;high
COPP;Cyclophosphamid;Procarbazin;Vincristin;Prednison;;;;C81;high;C83, C85;high;C77;high;C77;high;;;;;9650/3-9667/3;high;;;;;high;;;unique;BEACOPP;FALSE;first-line;high;curative-intent;high
CPX-351;Cytarabin und Daunorubicin;;;;;;;C92;high;D46;high;C42;high;C42, D46;high;C92.0;high;;;9861/3,9895/3,9896/3;high;;;;;high;;;unique;;TRUE;first-line;high;induction;high
CROSS;Carboplatin;Paclitaxel;;;;;;C15;high;C16;high;C15;high;C16;high;;;;;8140/3,8070/3;medium;;;;;high;DG02;PC;resolvable by entity;PC mit Bevacizumab,Pembro + Carbo/Paclitaxel;FALSE;first-line;high;neoadjuvant,chemoradiotherapy,curative-intent;high
CV;Cisplatin;Vinorelbin;;;;;;C34;medium;C33, C50, C45;medium;C34;medium;C33, C50, C45;medium;;;;;8140/3,8250/3,8255/3,8070/3;medium;;;;;medium;;;unique;;FALSE;first-line;medium;adjuvant,palliative;high
DA;Cytarabin;Daunorubicin;;;;;;C92;medium;C91, C93, C94, D46;medium;C42;medium;C42, D46;high;C92.0;high;;;9861/3,9895/3,9896/3;high;;;;;medium;;;unique;TAD;FALSE;first-line;high;induction;high
Dabrafenib + Trametinib;Dabrafenib;Trametinib;;;;;;C43;high;C34, C71, C73;medium;C43;high;C34, C71, C73;medium;;;;;8720/3;high;BRAF V600-mutated;high;;;high;;;unique;;FALSE;first-line and later;medium;adjuvant,palliative;medium
Darolutamid;Darolutamid;;;;;;;C61;high;;;C61;high;;;;;;;8140/3;high;;;;;high;;;unique;;TRUE;first-line and later;medium;palliative;high
Dasatinib;Dasatinib;;;;;;;C92;high;C91;high;C42;high;C42;high;C92.1;high;;;9863/3,9875/3;high;BCR-ABL1-positive;high;;;high;;;unique;;TRUE;first-line and later;medium;palliative;high
DC (Doce/Carbo);Carboplatin;Docetaxel;;;;;;C50, C56, C34;medium;C57, C48, C54, C15, C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;low;C50, C56, C34;medium;C57, C48, C54, C15, C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;low;;;;;8500/3,8520/3,8441/3,8460/3,8461/3;medium;;;;;medium;;;unique;TCH;FALSE;first-line;medium;neoadjuvant,adjuvant,palliative;medium
DC (Doce/Cyclo);Cyclophosphamid;Docetaxel;;;;;;C50;high;;;C50;high;;;;;;;8500/3,8520/3;medium;;;;;high;;;unique;EC-D,FEC-Doc,TAC;FALSE;first-line;high;adjuvant;high
